Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
21:30,23:45,Bilbao,BIO,Gran Canaria,LPA,3h 15m,Iberia,Promocionados,346 €,2024-04-09 22:17:54,2024-05-12
7:10,12:15,Bilbao,BIO,Gran Canaria,LPA,TFS,6h 05m,"Volotea, Binter Canarias",114 €,2024-04-09 22:17:54,2024-05-12
21:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 25m,"Iberia, Iberia Express",132 €,2024-04-09 22:17:54,2024-05-12
21:05,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 55m,"Air Europa, Iberia Express",126 €,2024-04-09 22:17:54,2024-05-12
8:30,13:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 50m,"Air Europa, Iberia Express",133 €,2024-04-09 22:17:54,2024-05-12
8:30,13:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 50m,"Air Europa, Iberia",137 €,2024-04-09 22:17:54,2024-05-12
21:05,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 55m,"Air Europa, Iberia",144 €,2024-04-09 22:17:54,2024-05-12
7:00,12:55,Bilbao,BIO,Gran Canaria,LPA,VLC,6h 55m,Vueling,140 €,2024-04-09 22:17:54,2024-05-12
7:10,14:50,Bilbao,BIO,Gran Canaria,LPA,TFS,8h 40m,"Volotea, Binter Canarias",114 €,2024-04-09 22:17:54,2024-05-12
8:55,14:40,Bilbao,BIO,Gran Canaria,LPA,BCN,6h 45m,Vueling,204 €,2024-04-09 22:17:54,2024-05-12
13:40,18:30,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 50m,Iberia,243 €,2024-04-09 22:17:54,2024-05-12
7:10,13:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,7h 20m,"Volotea, Binter Canarias",162 €,2024-04-09 22:17:54,2024-05-12
17:40,22:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 40m,Iberia,258 €,2024-04-09 22:17:54,2024-05-12
12:45,17:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 15m,Air Europa,276 €,2024-04-09 22:17:54,2024-05-12
17:40,23:45,Bilbao,BIO,Gran Canaria,LPA,MAD,7h 05m,Iberia,213 €,2024-04-09 22:17:54,2024-05-12
9:15,13:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 05m,Iberia,298 €,2024-04-09 22:17:54,2024-05-12
10:05,18:00,Bilbao,BIO,Gran Canaria,LPA,LGW,8h 55m,"easyJet, Vueling",157 €,2024-04-09 22:17:54,2024-05-12
21:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 25m,Vueling,305 €,2024-04-09 22:17:54,2024-05-12
8:30,14:30,Bilbao,BIO,Gran Canaria,LPA,MAD,7h 00m,"Air Europa, Binter Canarias",218 €,2024-04-09 22:17:54,2024-05-12
8:30,16:20,Bilbao,BIO,Gran Canaria,LPA,MAD,8h 50m,"Air Europa, Iberia",180 €,2024-04-09 22:17:54,2024-05-12
13:40,20:30,Bilbao,BIO,Gran Canaria,LPA,MAD,7h 50m,Iberia,243 €,2024-04-09 22:17:54,2024-05-12
15:15,20:10,Bilbao,BIO,Gran Canaria,LPA,BCN,5h 55m,Vueling,344 €,2024-04-09 22:17:54,2024-05-12
8:30,16:20,Bilbao,BIO,Gran Canaria,LPA,MAD,8h 50m,"Air Europa, Iberia Express",220 €,2024-04-09 22:17:54,2024-05-12
