Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
19:15,20:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Volotea,79 €,2024-04-26 23:48:24,2024-05-03
16:50,20:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 30m,Air Europa,76 €,2024-04-26 23:48:24,2024-05-03
13:40,17:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 25m,Iberia,82 €,2024-04-26 23:48:24,2024-05-03
8:30,10:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,directo,1h 35m,Iberia,197 €,2024-04-26 23:48:24,2024-05-03
9:15,12:40,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 25m,Iberia,105 €,2024-04-26 23:48:24,2024-05-03
8:30,11:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 20m,Air Europa,113 €,2024-04-26 23:48:24,2024-05-03
12:45,16:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,3h 30m,Air Europa,137 €,2024-04-26 23:48:24,2024-05-03
19:55,23:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 55m,Vueling,125 €,2024-04-26 23:48:24,2024-05-03
7:10,10:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 40m,Vueling,136 €,2024-04-26 23:48:24,2024-05-03
13:25,17:15,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,3h 50m,Vueling,134 €,2024-04-26 23:48:24,2024-05-03
12:45,20:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,7h 35m,Air Europa,76 €,2024-04-26 23:48:24,2024-05-03
8:55,14:10,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 15m,Vueling,116 €,2024-04-26 23:48:24,2024-05-03
17:35,22:30,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,4h 55m,Vueling,142 €,2024-04-26 23:48:24,2024-05-03
8:55,14:50,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,5h 55m,Vueling,116 €,2024-04-26 23:48:24,2024-05-03
12:45,17:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,4h 20m,"Air Europa, Iberia Express",141 €,2024-04-26 23:48:24,2024-05-03
8:30,12:40,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,4h 10m,"Air Europa, Iberia Express",147 €,2024-04-26 23:48:24,2024-05-03
8:30,12:40,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,4h 10m,"Air Europa, Iberia",151 €,2024-04-26 23:48:24,2024-05-03
12:45,17:05,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,4h 20m,"Air Europa, Iberia",145 €,2024-04-26 23:48:24,2024-05-03
7:10,14:10,Bilbao,BIO,Málaga-Costa del Sol,AGP,BCN,7h 00m,Vueling,111 €,2024-04-26 23:48:24,2024-05-03
13:40,20:20,Bilbao,BIO,Málaga-Costa del Sol,AGP,MAD,6h 40m,"Vueling, Air Europa",112 €,2024-04-26 23:48:24,2024-05-03
