Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
8:55,14:40,Bilbao,BIO,Gran Canaria,LPA,BCN,6h 45m,Vueling,167 €,2024-05-07 00:21:00,2024-05-19
21:30,23:45,Bilbao,BIO,Gran Canaria,LPA,directo,3h 15m,Vueling,344 €,2024-05-07 00:21:00,2024-05-19
9:15,13:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 05m,Iberia,246 €,2024-05-07 00:21:00,2024-05-19
21:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 25m,Iberia,264 €,2024-05-07 00:21:00,2024-05-19
15:15,20:10,Bilbao,BIO,Gran Canaria,LPA,BCN,5h 55m,Vueling,262 €,2024-05-07 00:21:00,2024-05-19
7:10,14:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,8h 20m,"Volotea, Binter Canarias",113 €,2024-05-07 00:21:00,2024-05-19
7:10,14:50,Bilbao,BIO,Gran Canaria,LPA,TFS,8h 40m,"Volotea, Binter Canarias",103 €,2024-05-07 00:21:00,2024-05-19
7:10,15:30,Bilbao,BIO,Gran Canaria,LPA,TFS,9h 20m,"Volotea, Binter Canarias",102 €,2024-05-07 00:21:00,2024-05-19
17:35,22:20,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 45m,Iberia,332 €,2024-05-07 00:21:00,2024-05-19
7:10,15:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,9h 20m,"Volotea, Air Europa",108 €,2024-05-07 00:21:00,2024-05-19
7:00,12:55,Bilbao,BIO,Gran Canaria,LPA,VLC,6h 55m,Vueling,229 €,2024-05-07 00:21:00,2024-05-19
7:10,15:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,9h 20m,"Volotea, Canaryfly",109 €,2024-05-07 00:21:00,2024-05-19
7:10,15:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,9h 20m,"Volotea, Binter Canarias",113 €,2024-05-07 00:21:00,2024-05-19
21:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 25m,Vueling,330 €,2024-05-07 00:21:00,2024-05-19
10:05,18:00,Bilbao,BIO,Gran Canaria,LPA,LGW,8h 55m,"easyJet, Vueling",166 €,2024-05-07 00:21:00,2024-05-19
13:40,18:30,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 50m,Iberia,359 €,2024-05-07 00:21:00,2024-05-19
21:05,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 55m,"Air Europa, Iberia Express",312 €,2024-05-07 00:21:00,2024-05-19
12:45,17:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 15m,Air Europa,431 €,2024-05-07 00:21:00,2024-05-19
10:05,18:20,Bilbao,BIO,Gran Canaria,LPA,LGW,9h 15m,easyJet,190 €,2024-05-07 00:21:00,2024-05-19
9:30,18:20,Bilbao,BIO,Gran Canaria,LPA,BRS,9h 50m,"easyJet, Jet2",165 €,2024-05-07 00:21:00,2024-05-19
7:10,17:05,Bilbao,BIO,Gran Canaria,LPA,TFS,10h 55m,"Volotea, Binter Canarias",121 €,2024-05-07 00:21:00,2024-05-19
20:10,2:00,Bilbao,BIO,Gran Canaria,LPA,"SCQ, MAD",6h 50m,Iberia,342 €,2024-05-07 00:21:00,2024-05-19
7:10,17:00,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,10h 50m,"Volotea, Binter Canarias",137 €,2024-05-07 00:21:00,2024-05-19
17:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,9h 25m,Iberia,264 €,2024-05-07 00:21:00,2024-05-19
21:35,2:00,Bilbao,BIO,Gran Canaria,LPA,MAD,5h 25m,"Iberia, Iberia Express",366 €,2024-05-07 00:21:00,2024-05-19
9:15,16:20,Bilbao,BIO,Gran Canaria,LPA,MAD,8h 05m,Iberia,332 €,2024-05-07 00:21:00,2024-05-19
23:00,9:25,Bilbao,BIO,Gran Canaria,LPA,BCN,11h 25m,Vueling,165 €,2024-05-07 00:21:00,2024-05-19
10:55,20:10,Bilbao,BIO,Gran Canaria,LPA,BCN,10h 15m,Vueling,252 €,2024-05-07 00:21:00,2024-05-19
7:15,16:00,Bilbao,BIO,Gran Canaria,LPA,CDG,9h 45m,Vueling,271 €,2024-05-07 00:21:00,2024-05-19
7:10,19:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,13h 20m,"Volotea, Binter Canarias",113 €,2024-05-07 00:21:00,2024-05-19
15:15,23:25,Bilbao,BIO,Gran Canaria,LPA,BCN,9h 10m,Vueling,341 €,2024-05-07 00:21:00,2024-05-19
19:45,8:00,Bilbao,BIO,Gran Canaria,LPA,AGP,13h 15m,Vueling,114 €,2024-05-07 00:21:00,2024-05-19
8:30,17:00,Bilbao,BIO,Gran Canaria,LPA,MAD,9h 30m,Air Europa,365 €,2024-05-07 00:21:00,2024-05-19
19:10,2:00,Bilbao,BIO,Gran Canaria,LPA,"OPO, MAD",7h 50m,"Vueling, Iberia",360 €,2024-05-07 00:21:00,2024-05-19
12:45,20:10,Bilbao,BIO,Gran Canaria,LPA,"MAD, ACE",8h 25m,Air Europa,373 €,2024-05-07 00:21:00,2024-05-19
7:10,19:30,Bilbao,BIO,Gran Canaria,LPA,TFS-TFN,13h 20m,"Volotea, Canaryfly",132 €,2024-05-07 00:21:00,2024-05-19
12:45,20:10,Bilbao,BIO,Gran Canaria,LPA,"MAD, ACE",8h 25m,"Air Europa, Iberia Express",359 €,2024-05-07 00:21:00,2024-05-19
