Departure Time,Arrival Time,Departure Airport,Departure_Cod,Arrival Airport,Arrival_Cod,Stop Airports,Duration,Airlines,Price,Info Date Save,Flight Date
12:05,13:50,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 45m,Vueling,136 €,2024-06-01 22:06:51,2024-06-02
7:10,8:55,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 45m,Air France,154 €,2024-06-01 22:06:51,2024-06-02
7:15,9:00,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 45m,Iberia,171 €,2024-06-01 22:06:51,2024-06-02
8:55,14:10,Bilbao,BIO,Charles de Gaulle,CDG,BCN,5h 15m,Vueling,225 €,2024-06-01 22:06:51,2024-06-02
9:30,14:15,Bilbao,BIO,Charles de Gaulle,CDG,ZRH,4h 45m,SWISS,223 €,2024-06-01 22:06:51,2024-06-02
10:55,16:05,Bilbao,BIO,Charles de Gaulle,CDG,BCN,5h 10m,Vueling,272 €,2024-06-01 22:06:51,2024-06-02
10:30,12:10,Bilbao,BIO,Charles de Gaulle,CDG,directo,1h 40m,Air France,432 €,2024-06-01 22:06:51,2024-06-02
17:15,21:50,Bilbao,BIO,Charles de Gaulle,CDG,AMS,4h 35m,KLM,301 €,2024-06-01 22:06:51,2024-06-02
8:55,16:05,Bilbao,BIO,Charles de Gaulle,CDG,BCN,7h 10m,Vueling,251 €,2024-06-01 22:06:51,2024-06-02
12:15,17:10,Bilbao,BIO,Charles de Gaulle,CDG,MXP,4h 55m,"Vueling, easyJet",321 €,2024-06-01 22:06:51,2024-06-02
13:55,19:20,Bilbao,BIO,Charles de Gaulle,CDG,LGW,5h 25m,"Vueling, easyJet",320 €,2024-06-01 22:06:51,2024-06-02
11:35,16:15,Bilbao,BIO,Charles de Gaulle,CDG,BRS,4h 40m,easyJet,352 €,2024-06-01 22:06:51,2024-06-02
12:15,19:00,Bilbao,BIO,Charles de Gaulle,CDG,MXP,6h 45m,"Vueling, easyJet",311 €,2024-06-01 22:06:51,2024-06-02
13:55,20:15,Bilbao,BIO,Charles de Gaulle,CDG,LGW,6h 20m,"Vueling, easyJet",330 €,2024-06-01 22:06:51,2024-06-02
7:10,14:05,Bilbao,BIO,Charles de Gaulle,CDG,CPH,6h 55m,"Vueling, Air France",283 €,2024-06-01 22:06:51,2024-06-02
13:55,21:30,Bilbao,BIO,Charles de Gaulle,CDG,LGW,7h 35m,"Vueling, easyJet",329 €,2024-06-01 22:06:51,2024-06-02
13:55,21:30,Bilbao,BIO,Charles de Gaulle,CDG,LGW-LTN,7h 35m,"Vueling, easyJet",351 €,2024-06-01 22:06:51,2024-06-02
